City,Latitude,Longitude
Puerto Montt, -41.46574, -72.94289
Osorno, -40.574505, -73.131920
Ancud, -41.867500, -73.827698
Castro, -42.4721, -73.77319
Puerto Varas, -41.31946, -72.98538
Calbuco, -41.77338, -73.13049
Quellón, -43.11819, -73.61661
Purranque, -40.91305, -73.15913
Los Muermos, 41.39940, -73.46499
Llanquihue, -41.5, -73.08333
Maullín, -41.61480, -73.5990
Frutillar, -41.12676, -73.04372
Río Negro,  -40.7833, -73.2333
Fresia,  -41.150, -73.450
Chonchi, -42.62003, -73.77674
Puyehue, -40.65944, -72.60172
Dalcahue, -42.37763,-73.651882
Puerto Octay, -40.97683,-72.8819
San Pablo, -40.399, -73.0166
Quinchao, -42.4, -73.4
San Juan de la Costa, -40.51666,-73.40000
Quemchi, -42.2, -73
Hualaihué, -41.92761, -73.59831
Chaitén, -42.91596, -72.70632
Queilén, -42.90000,-73.48330
Cochamó, -41.49232,-72.30843
Puqueldón, -42.60144,-73.67148
Curaco de Vélez, -42.44054,-73.6037
Futaleufú, -43.1833, -71.8667
Palena, -43.16212, -72.47818
